"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"dam5";1;"LOGO";;;
2;"G***";"me_logo";1;"LOGO";;;
3;"G***";"m&d_logo";1;"LOGO";;;
4;"OSC1";"Crystal_SMD_HC49-SD";1;"8MHz";;;
5;"U13";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm";1;"TPS26600";;;
6;"G***";"car_logo";1;"LOGO";;;
7;"C1,C6,C23";"C_0805_2012Metric";3;"100nF";;;
8;"C2,C4";"C_0805_2012Metric";2;"22pF";;;
9;"C3";"CP_Radial_D16.0mm_P7.50mm";1;"2200uF";;;
10;"C7";"CP_Radial_D8.0mm_P3.50mm";1;"180uF";;;
11;"C8,C9,C10,C11,C12,C13";"C_0805_2012Metric";6;"10nF";;;
12;"CN1";"mikroBUS_socket";1;"mikroBUS_socket";;;
13;"D5,D1";"D_DO-201AD_P12.70mm_Horizontal";2;"D_Schottky";;;
14;"D6";"TO-252-2";1;"Q_TRIAC_A1A2G";;;
15;"IN1,IN2,IN3,IN4,IN5,IN6,OUT1,OUT2,OUT3,OUT4,OUT5,OUT6,PWR5,PWR24";"LED_0805_2012Metric";14;"LED";;;
16;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
17;"J2";"PCB_Screw_Terminal_5.08_12ways";1;"Screw_Terminal_01x12";;;
18;"L1";"HPI1206";1;"68uH";;;
19;"R1,R25,R27,R34,R35,R38,R39,R40,R46";"R_0805_2012Metric";9;"10k";;;
20;"R2";"R_0805_2012Metric";1;"2k2";;;
21;"R3,R4,R5,R6,R7,R8,R21,R22,R23,R24,R26,R28,R32";"R_0805_2012Metric";13;"4k7";;;
22;"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20";"R_1206_3216Metric";12;"330";;;
23;"R29";"R_0805_2012Metric";1;"330";;;
24;"R30";"R_2512_6332Metric";1;"200";;;
25;"R31";"R_0805_2012Metric";1;"150";;;
26;"R33";"R_1206_3216Metric";1;"10k";;;
27;"RS1";"TACTSWITCH6x6";1;"SW_Push";;;
28;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"BTS5120G";;;
29;"U3";"TO-263-5_TabPin3";1;"LM2596S-5";;;
30;"U4";"SMDIP-6_W9.53mm";1;"VO3062";;;
31;"U6,U7,U8";"ISO1212";3;"ISO1212";;;
32;"D7,D8";"D_SOD-323";2;"D";;;
33;"C14,C15,C16,C17";"C_0805_2012Metric";4;"0.22uF";;;
34;"C18,C19";"C_0805_2012Metric";2;"0.1uF";;;
35;"C20";"CP_Radial_D16.0mm_P7.50mm";1;"1000uF";;;
36;"U5,U9";"TO-263-7_TabPin4";2;"BTN8982TA";;;
37;"C21";"C_0805_2012Metric";1;"0.1nF";;;
38;"C22";"C_0805_2012Metric";1;"100uF";;;
39;"R36";"R_0805_2012Metric";1;"100k";;;
40;"R37";"R_0805_2012Metric";1;"47k";;;
41;"U10";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TPS25921A";;;
42;"H1,H2,H3,H4";"ScrewHoleM3";4;"ScrewHoleM3";;;
43;"J4,J5,J6,J7";"PCB_Screw_Terminal_5.08_4ways";4;"Screw_Terminal_01x04";;;
44;"J3";"PCB_Screw_Terminal_5.08_2ways";1;"Screw_Terminal_01x02";;;
45;"U1";"TQFP-44_10x10mm_P0.8mm";1;"PIC18F45K22";;;
46;"U11";"DiodeBridge_GBI";1;"GBI25B";;;
47;"C5,C24";"CP_Radial_D12.5mm_P5.00mm";2;"680uF";;;
48;"C25";"C_0805_2012Metric";1;"560pF";;;
49;"C26";"CP_Radial_D10.0mm_P5.00mm";1;"150uF";;;
50;"L2";"HPI1206";1;"47uH";;;
51;"R41";"R_0805_2012Metric";1;"1k";;;
52;"R42";"R_0805_2012Metric";1;"18k5";;;
53;"U12";"TO-263-5_TabPin3";1;"LM2596S-ADJ";;;
54;"C27";"C_0805_2012Metric";1;"2.2uF";;;
55;"R43";"R_0805_2012Metric";1;"715k";;;
56;"R44";"R_0805_2012Metric";1;"20k";;;
57;"R45";"R_0805_2012Metric";1;"30.1k";;;
58;"R47";"R_0805_2012Metric";1;"5,36k";;;
59;"C28";"C_0805_2012Metric";1;"0.47uF";;;
60;"C29";"C_0805_2012Metric";1;"33uF";;;
61;"JP1";"Jumper_0805";1;"SolderJumper_3_Open";;;
62;"U14";"SOT-223";1;"LM3940";;;
